id,date,blue_r,green_r,red_r,nir_r,ndvi,evi,gci,gpp
129,20200325T185011,0.096428261,0.088701398,0.04785295,0.585073292,0.848788225,1.168908057,5.595987304,31.1055695
130,20200404T184911,0.633756211,0.585185714,0.611321739,0.629642236,0.014763117,0.084131431,0.075969937,20.150417
131,20200504T184921,0.104968944,0.105006988,0.102491149,0.311987578,0.505445551,0.459556073,1.97111254,11.7084675
132,20200514T184921,0.65765559,0.628628727,0.667718478,0.686623603,0.013958899,0.062145589,0.092256165,30.258915
133,20200524T184921,0.083244721,0.075840062,0.044785093,0.425406211,0.809502674,0.889483426,4.60925452,33.362648
134,20200603T184921,0.089494876,0.076737733,0.057501553,0.364429814,0.727436463,0.739067889,3.749030234,24.6305865
135,20200613T184921,0.120460559,0.124245652,0.14603618,0.31327205,0.364103795,0.325099779,1.521392452,6.767769
136,20200623T184921,0.102015217,0.100973913,0.087548292,0.380481988,0.625886205,0.642028102,2.768121649,24.9063915
137,20200703T184921,0.095719255,0.088288043,0.072801708,0.420869565,0.705059978,0.763450418,3.767005232,29.3187085
138,20200713T184921,0.134327329,0.144344721,0.178354814,0.344998758,0.318415605,0.295956488,1.390103057,5.6442355
139,20200812T184921,0.115955435,0.123515217,0.127442236,0.381913044,0.499593933,0.49821965,2.092032314,14.4608235
140,20200822T184921,0.153547205,0.138347826,0.108757298,0.417714286,0.586844565,0.840787106,2.019305019,33.702266
141,20200906T184919,0.141827485,0.130938354,0.135819099,0.285078261,0.354621282,0.360081718,1.177194475,-3.28058
142,20200911T184951,0.208079193,0.189088509,0.183950932,0.276365217,0.200762641,0.281930735,0.461565372,4.07395
143,20200916T184939,0.113492547,0.109771584,0.096738043,0.323607453,0.539721281,0.538707358,1.948007507,18.026528
144,20200921T185101,0.113291149,0.10645528,0.07306413,0.390186335,0.684558847,0.809904624,2.665260542,20.258426
145,20200926T185049,0.105753106,0.097387733,0.060113199,0.421865839,0.750556791,0.914073762,3.331817015,32.605972
146,20201001T185221,0.186558075,0.158593789,0.12291087,0.407741615,0.536755699,0.954499407,1.570980982,26.149559
147,20201006T185249,0.111646739,0.098651553,0.062873292,0.477791304,0.767422197,1.019273749,3.843221325,27.4645205
148,20201011T185321,0.116793478,0.115294721,0.127364596,0.269262112,0.357760868,0.306474486,1.335424472,4.6298325
149,20201016T185359,0.116829969,0.11020295,0.112788665,0.268449689,0.408303685,0.364048876,1.435957374,6.2991955
150,20201021T185431,0.099881677,0.095919255,0.079807764,0.327341615,0.607968141,0.585421341,2.412678884,13.1636505
151,20201026T185459,0.099497516,0.091740994,0.065243478,0.359522981,0.69280306,0.732218899,2.918891289,17.994412
152,20201031T185531,0.102597205,0.094154814,0.059275932,0.400750311,0.74229326,0.864994134,3.256291261,19.7468345
153,20201105T185559,0.096426398,0.088169876,0.050954658,0.419406211,0.783338021,0.919348857,3.75679712,24.4278135
154,20201110T185621,0.096379037,0.08667795,0.050259161,0.422931677,0.787573396,0.930152243,3.879345618,14.1476925
155,20201115T185649,0.095985093,0.087987578,0.047481988,0.428541615,0.800505742,0.95883804,3.870478611,19.192159
156,20201120T185711,0.099819255,0.088738975,0.049959006,0.407239752,0.781456072,0.932021122,3.589187005,14.9074465
157,20201125T185719,0.098474689,0.088904348,0.04869177,0.412208696,0.788710258,0.940974443,3.636541471,18.1964845
158,20201130T185741,0.103844876,0.091045652,0.053383385,0.383413665,0.75556893,0.89209196,3.211224319,8.326093
159,20201205T185749,0.11044705,0.098195342,0.060839441,0.365232298,0.714416914,0.84373942,2.71944628,8.210154
160,20201210T185801,0.102960248,0.090783696,0.057736025,0.346464596,0.71431996,0.784009976,2.816374667,9.764386
161,20201215T185759,0.126121118,0.107108851,0.083980124,0.232556522,0.469381348,0.469863913,1.171216662,-0.2437125
162,20201220T185811,0.152243323,0.127872981,0.10935295,0.229863354,0.355261236,0.404855911,0.797591262,-0.734913
163,20201225T185809,0.750145652,0.699618634,0.748734627,0.777868323,0.019084003,0.113064394,0.111846206,1.0568235
164,20201230T185811,0.110209783,0.088807298,0.07680295,0.18150559,0.405339443,0.320878485,1.043813897,1.646119
